index,answer1,answer2,condition,label
10499,Skateboarder.,Skateboarder,The profession of the persons.,4
10500,Group walking,Group,The presence of multiple people.,4
10501,Walking,Skipping,The type of movement.,3
10502,Snowboard,Snowboarding,The means of transportation.,3
10503,Snow ramp,Yellow rail,The terrain ridden over.,1
10504,Horse,Brown Horses,The animal they are riding.,5
10505,Agitated,Calm,The temperament of the animals.,2
10506,Dog,Dog,The type of animal.,4
10507,Running,circling,The action of the animal.,1
10508,Two,Two dogs,The number of dogs.,4
10509,Playing,Fetching,The type of activity.,4
10510,Baseball,Baseball,The type of the sport.,5
10511,2 players,One,The number of persons.,1
10512,Water,Water,The type of terrain.,4
10513,Water sports,Surfing,The type of hobby.,2
10514,One,One,The number of the animals.,5
10515,Tan,White,The color of the animal.,1
10516,Spandex-clad bicyclists pedal.,One,Number of bikers.,5
10517,Cycling,Cycling,Recreational activity.,2
10518,Beach,Beach,The location of the site.,5
10519,One,Two,The number of people.,1
10520,Skateboarding,Skateboarding,The sport being played.,4
10521,Skateboarding,Ollie,The action of the skateboarder.,3
10522,Hiking,Hiking,The type of recreational activity.,4
10523,Forest Trail,Mountainous,The type of terrain.,2
10524,Cows,Cattle,The existence of cows.,5
10525,Truck,Truck,The type of vehicle.,4
10526,Fast,Rapid,The speed of the cyclists.,3
10527,Sharp turn.,Rounding.,The cyclist's position on the course.,1
10528,Coats,Pants and coats,What the people are wearing.,5
10529,Mountain,Steep,Slope of the walking path.,3
10530,Sand.,Sand,The walking surface.,2
10531,Child,Unknown.,The age of the people.,1
10532,Asian children,Children,The group of people.,5
10533,Relay Race.,Relay Race,The game being played.,4
10534,Dogs,Dogs,The type of animals.,3
10535,Dark colored,Tan,The color of the animals.,2
10536,Three musicians,Three,The number of musicians on stage.,5
10537,Guitars and drums.,Three instruments,The type of instruments being played.,3
10538,Boat,Boat.,The transport type.,4
10539,Number of people: several,Three,The number of people.,4
10540,Dog,Dog,The type of animal.,5
10541,Running,Swimming,The speed of the animal.,5
10542,Female,Female,The gender of the children.,5
10543,Swinging on the swing.,Singing,The vocal activity.,1
10544,Dog,Dog,The animal.,4
10545,Black,Tan and white,The dog color.,1
10546,Cementing,Construction work.,The work being done.,4
10547,Safety gear,Safety gear.,The presence of helmets.,2
10548,1,One person,The number of persons.,5
10549,Male.,Female,The gender of the persons.,1
10550,Children,Not specified,The age of the performers.,2
10551,One.,One,The number of performers.,2
10552,Chasing,Running,The action of the animal.,3
10553,Dog,Dogs,The name of the animal.,2
10554,Skateboarding tricks.,Rail grind,The tricks the skateboarders are doing.,3
10555,Urban skateboarding,Skateboarding,The act of skateboarding.,2
10556,Dogs,Dogs,The name of the animal.,5
10557,Black and white,Gray and tan,The color of the dog.,3
10558,Huddling.,Waiting,The action that the people are taking.,5
10559,Soccer,Soccer,The sport being played.,5
10560,Dogs,Dog,The type of animal.,5
10561,Three,1,The number of animals.,3
10562,Green,Green,The color of the vehicle.,5
10563,Riding,Jumping,The action of the rider.,4
10564,Snowy,Winter sports.,Presence of snow.,5
10565,Skateboarding,Aerial Trick,The type of action performed.,5
10566,Child,young,The person's age.,3
10567,Swing chains.,Pole,The object the person grips.,2
10568,Detail-oriented,Observation,The attention to detail.,4
10569,Spatula,Griddle,The kitchen utensil being used.,1
10570,Dog,Dog,The animal.,5
10571,Multicolor,Brown and white,The color.,4
10572,Jump on ramp,Ollie,The type of trick.,4
10573,Skateboarding,Skateboarding,The type of hobby.,3
10574,No shirt.,Topless,The lack of shirt.,2
10575,White building,Skating rink,The location.,1
10576,Dog,Dog,Type of animal.,5
10577,Running,Swimming.,Speed of movement.,2
10578,Boardwalk,Birdwatching path,The name of the place.,5
10579,Approaching.,Observing.,The name of the action.,4
10580,Uncut field,Grass,Type of ground covering.,4
10581,Two dogs,Two dogs,Number and type of animals.,4
10582,Female.,female,The gender.,5
10583,Multiple,One person,The number of people.,2
10584,Bass guitar,Guitar & Drums,The type of the musical instrument.,4
10585,Female,Men,The gender of the persons.,1
10586,Male,male,The gender of the person.,5
10587,Participation,Running,Participation in the race.,5
10588,Baseball,Baseball,The type of the sport.,5
10589,Audience,One person.,The number of persons.,3
10590,Restaurant buffet,Restaurant,The type of work place.,2
10591,Buffet-style restaurant worker.,Green,The color of the dress.,1
10592,Dog,Dog,The type of animal.,5
10593,Water's edge,Close to water,The nearness to water.,3
10594,High,Visibility,The level of danger.,4
10595,High bluff,high_altitude,The elevation.,3
10596,Blue,Blue,The color of apparel.,4
10597,Off-road,In the air.,The position of the vehicle.,3
10598,Tennis,Tennis,The name of sport.,5
10599,Tennis.,Outdoor tennis,The type of playing.,4
10600,Female,Female,The gender of the people.,5
10601,Multiple,One,The number of people.,1
10602,Sand dune,Desert,The location.,5
10603,Sand.,Sand,The ground cover.,5
10604,One,One,The number of dog.,3
10605,White,Brown,The color of the dog.,2
10606,Wetsuit,Topless,The wearing of the person.,4
10607,Sub-board,Photo/picture.,The type of surfing material.,4
10608,Skateboarding,Skateboarding,The sport being played.,4
10609,Midair,Skate park,The place of the action.,2
10610,2 Children,One baby,The amount of children.,4
10611,Four women.,Two,The amount of women.,4
10612,One,One.,The number of persons.,5
10613,ATV,Motorcycle,The type of vehicle.,1
10614,Falling,Sledding,The movement of the children.,5
10615,Snow-covered ground,Snowy hill,The type of terrain.,3
10616,Ocean,Ocean Water,The presence of salt water.,4
10617,One,Two,The number of kids.,4
10618,On the mountain,In front,Position of the people relative to the mountain.,4
10619,Forest landscape,Winter landscape.,Type of landscape.,4
10620,Two,Two,The number of people.,5
10621,Working and smiling.,"One person masked, one leaned.",The people's stances.,4
10622,Brown,Black,The color of the dog.,4
10623,Running fast,Moderate,The speed of the dog.,2
10624,Dogs,Dogs,The type of animals.,5
10625,Inconsistency in location,Beach,The type of location.,1
10626,Beach,Shallow and calm,The water.,5
10627,Infants.,Young,The age of the children.,5
10628,Opposing players,Competitors,Relationship between people.,4
10629,Mid-air,Mid-air,Height of the ball relative to ground.,3
10630,Two dogs.,Three,The number of dogs.,3
10631,Beach,beach,The place of the action.,2
10632,One,One,The number of dog.,5
10633,Brown,White,Color of dog.,1
10634,Graffiti,Graffiti.,What is covering the wall.,5
10635,Skateboarding,Jumping in the grass,Position relative to the ground.,2
10636,Snowy,Snowy,The weather.,5
10637,Snowboard,Sled,The vehicle.,1
10638,Nearby.,Proximity to trees.,The closeness to trees.,4
10639,In the air.,Jumping off hill.,The elevation of the riders.,3
10640,Dog,Dog,The type of animal.,4
10641,Grassy Field,Uncut field,The type of terrain.,3
10642,Snowy hill,Mountain,The location.,4
10643,Paraskis,Skiing outfitted with a puffy yellow jacket.,They type of equipment.,2
10644,Two people,Two people,The number of persons.,4
10645,Chopping wood.,Giving Instructions,The action of the persons.,3
10646,Young,Child,The age of the participant.,4
10647,Green,Orange,The color of the slide.,1
10648,Baseball,Baseball,The sport being played.,5
10649,Sliding into base.,Touching base,The action of the players.,4
10650,Dog,Dog,The animal.,5
10651,Light,Brown,The color of animal.,2
10652,On phone,Multitasking,The action of a man.,4
10653,Multiple individuals.,One,The number of people.,1
10654,Planking,Barbecuing,The method of cooking.,4
10655,Examining.,Barbecuing,The activity status of the subject.,2
10656,Blue plastic pool,Water Wings,The presence of swimming pool.,5
10657,Infant.,Little,The age of the kids.,3
10658,Tennis.,Tennis,The game being played.,3
10659,Focused,Focused,The player's attitude.,2
10660,Skateboarder,Skateboarder,The person (high similarity because in both sentence mentioned skateboarders skating their path).,5
10661,Different locations,City street,The location (low similarity because in first sentence the person skating above a flight of stone stairs and in second skate in a people walk in buy city).,4
10662,Skateboarding.,Inline Skating,The type of sport.,5
10663,Skate park,Indoor skate park,The location.,4
10664,Tennis,Tennis,The sport being played.,4
10665,"Blond woman, blue background.",Green and red,The colors around the person.,1
10666,One.,One person,The number of person.,5
10667,Animal color: Not specified,Brown and white,The color of animal.,3
10668,Brown,Brown,The color of the dog.,4
10669,Tennis ball,Buoy,What the dog possesses.,1
10670,Two dogs,Two animals,The amount of animals.,4
10671,Dogs,Black and white animals,The species of animals.,3
10672,Skateboarding,Skateboarding.,The sport.,3
10673,Nighttime,Green,The color of object.,1
10674,One person.,Several,The number of people.,3
10675,Hard hat,Hard hats,The type of head gear.,3
10676,Two participants.,Two,The number of person.,5
10677,Blue and white,Red and blue.,The color of the players.,1
10678,Mid-hitting,Standing,The type of position.,4
10679,Volleyball,Beach volleyball,The name of the game.,4
10680,Swimming pool.,Outdoor Fountain,The type of location.,3
10681,Multiple,One,The number of children.,1
10682,Varies,Competing,Speed of people.,4
10683,One,Two,Number of people.,2
10684,Skiing,Skiing,The sport.,5
10685,Downhill,Flying above.,Their height above the slopes.,4
10686,1 (one),One,The number of animals.,4
10687,Walking,Fast,The speed of the animal.,3
10688,Ball,Red ball,The type of toy.,5
10689,Running,Jumping,The dog's position.,1
10690,Clearing snow,Snow removal,The purpose of the tool.,4
10691,Snow blower,Snow shovel,The tool.,1
10692,Basketball,Basketball,The sport.,5
10693,Large crowd,Multiple,The number of people.,1
10694,Baseball,Baseball.,Sport.,4
10695,"""Catcher""",Swinging bat,Current role of the baseball player.,2
10696,Purchasing groceries,Commerce,The nature of the transaction.,2
10697,One person.,Three people.,The number of people.,1
10698,Boy,Two boys.,The gender of the persons.,4
10699,One person.,Two,The number of persons.,2
10700,Rock climbing.,Mountain Climbing,The sport.,4
10701,Slate colored,Red,The color of object.,1
10702,Watersports,Water sports,The type of games.,3
10703,One.,One,The number of the person.,2
10704,Grassy Field,Grassy ground,The name of the spot.,5
10705,Three,Four,The number of dogs.,4
10706,Skateboarding,Skateboarding,The sport.,4
10707,One,Two,The number of people.,1
10708,Three,Three,The number of people.,3
10709,Happy and friendly,Smiling and sticking out tongue,The facial expressions.,2
10710,City Park,Outdoors,The place.,4
10711,Group of people.,One,The number of people.,1
10712,Tennis,Tennis,Type of sport.,4
10713,Four players,1,Number of people.,1
10714,Rock climbing,Rock climbing.,The sport.,5
10715,Up,Up,The direction of movement.,3
10716,Fast,Fast.,The speed of the people.,4
10717,Summersault,Jumping stunt rotation.,The rotation of body of the people.,3
10718,Karate,Tae Kwon Do,The type of sport.,4
10719,Male,Female,The sex of the people.,2
10720,Brown.,Black,Hair color.,4
10721,Music Performance,Singing,Type of musical activity.,1
10722,Karate,Sparring,The type of fighting form on display.,4
10723,Karate demonstration.,Sparring,The action being taken in the sport.,3
10724,Judo,Martial arts,The sport.,3
10725,Judo,Stretching,The type of exercise.,2
10726,Track and field,Running,The type of sport.,4
10727,Two runners,One runner,The number of persons.,1
10728,Rollerblades,Rollerblades,The footwear.,5
10729,Ramp,Handrail.,The surface being rode upon.,4
10730,Male,Male,The gender of the person.,4
10731,Adult,Young,The age of the person.,2
10732,Dog,Dog,The type of animal.,5
10733,Bird,Frisbee.,The type of object in the dog's mouth.,1
10734,Snowboarder,Snowboarder.,The profession of the persons.,5
10735,Snowboarding,Jumping,The action of the persons.,2
10736,Foothills.,Outdoor wilderness,Type of environment.,4
10737,Hiking,Hiking,Type of recreational activity.,3
10738,Low,Canoe,The presence of canoe.,5
10739,Four,Two people,The number of persons.,2
10740,Children,Students,The type of people.,4
10741,Standing,Seated,The body position of the people.,1
10742,Dog,Dogs,The type of animal.,4
10743,Black.,White,The animal's color.,4
10744,One person.,One person,The number of people.,5
10745,Raging.,Turbulent,The condition of water.,5
10746,One person.,One,The number of people.,4
10747,Downhill,Airborne,The direction of the person.,3
10748,Snowboarding/snowboarder's aerial maneuvers.,Air stunt,The person's intentions at elevation.,4
10749,Mid-air,Airborne,The person's elevation.,4
10750,Blizzard Mountain,Mountain Top,The name of the place.,5
10751,Three,Two,The number of people.,3
10752,Large.,Five feet,The size of the wave.,5
10753,Ocean,Beach,The place they are in.,4
10754,Woman and girl,Woman and Little Girl,Ages of people.,3
10755,Gifts,Cookie Decorating,Type of objects.,2
10756,Two,Two,The number of wheels.,5
10757,Motorbike,Bike,The type of vehicle.,2
10758,Dog,Dog,Type of animal.,5
10759,Wet,Wet,Wetness of animal's fur.,3
10760,Dog,Dog.,The animal.,2
10761,Brown,Black,The color of animal.,1
10762,Busking,Street musician,The activity of man.,5
10763,Guitar,Stringed instrument,The instrument.,1
10764,Skateboard,Snowboard,What the person is on.,2
10765,Skateboarding trick.,Trick,What the person is performing.,1
10766,Climbing,Rock climbing.,The name of the action.,5
10767,One.,Two,The number of person.,2
10768,On stage.,On stage,The location.,4
10769,Ballet,Dance.,The artform.,3
10770,Racing dog.,Greyhound,The name of the animal.,4
10771,Muddy,Track,The condition of the  field.,3
10772,Cycling,Cycling.,The sport being performed.,5
10773,Audience,Cars.,The things being passed by.,3
10774,One (dog),One,The number of animals.,5
10775,Dog,Dog,The type of the animals.,4
10776,Beach,Near the beach,The proximity to water.,4
10777,Quick,Running,The speed of the dog.,4
10778,Skateboarding,Skateboarding,The hobby.,3
10779,Skateboarder preparing to perform on half-pipe with trees in background.,Skateboarding and filming.,The timeline of events.,2
